Qf,Time,X,Y,Alpha,Temp(degC)
520,0,50,0.02,0.0000002672479368,20.00870798
520,0,50,0.04,0.0000002672336111,20.00772469
520,0,50,0.06,0.0000002672200744,20.00679539
520,0,50,0.08,0.0000002671224306,20.00592009
520,0,50,0.1,0.0000002671953479,20.00509879
520,0,50,0.12,0.000000267184158,20.00433148
520,0,50,0.14,0.0000002671737504,20.00361816
520,0,50,0.16,0.000000267164125,20.00295884
520,0,50,0.18,0.0000002671552819,20.00235352
520,0,50,0.2,0.000000267147221,20.00180219
520,0,50,0.22,0.0000002671399424,20.00130485
520,0,50,0.24,0.0000002671334461,20.00086151
520,0,50,0.26,0.000000267127732,20.00047217
520,0,50,0.28,0.0000002671228001,20.00013682
520,0,50,0.3,0.0000002671186506,19.99985547
520,0,50,0.32,0.0000002671152832,19.99962811
520,0,50,0.34,0.0000002671126982,19.99945474
520,0,50,0.36,0.0000002671108953,19.99933538
520,0,50,0.38,0.0000002671098748,19.99927
520,0,50,0.4,0.0000002671096365,19.99925863
520,0,50,0.42,0.0000002671101804,19.99930125
520,0,50,0.44,0.0000002671115066,19.99939786
520,0,50,0.46,0.0000002671136151,19.99954847
520,0,50,0.48,0.0000002671165058,19.99975307
520,0,50,0.5,0.0000002671201788,20.00001167
520,0,50,0.52,0.0000002671246333,20.00032427
520,0,50,0.54,0.0000002671241384,20.00028943
520,0,50,0.56,0.0000002671236707,20.00025651
520,0,50,0.58,0.0000002671232302,20.00022549
520,0,50,0.6,0.0000002671228168,20.00019637
520,0,50,0.62,0.0000002671224306,20.00016915
520,0,50,0.64,0.0000002671220715,20.00014384
520,0,50,0.66,0.0000002671217396,20.00012044
520,0,50,0.68,0.0000002671214349,20.00009894
520,0,50,0.7,0.0000002671211573,20.00007934
520,0,50,0.72,0.0000002671209069,20.00006165
520,0,50,0.74,0.0000002671206836,20.00004586
520,0,50,0.76,0.0000002671204875,20.00003198
520,0,50,0.78,0.0000002671203186,20.00002
520,0,50,0.8,0.0000002671201768,20.00000993
520,0,50,0.82,0.0000002671200622,20.00000176
520,0,50,0.84,0.0000002671199748,19.99999549
520,0,50,0.86,0.0000002671199145,19.99999113
520,0,50,0.88,0.0000002671198814,19.99998868
520,0,50,0.9,0.0000002671198754,19.99998812
520,0,50,0.92,0.0000002671198966,19.99998948
520,0,50,0.94,0.0000002671199449,19.99999273
520,0,50,0.96,0.0000002671200204,19.99999789
520,0,50,0.98,0.0000002671201231,20.00000496
520,0,50,1,0.000000267120253,20.00001393
520,0,50,1.02,0.00000026712041,20.0000248
520,0,50,1.04,0.0000002671203569,20.00002175
520,0,50,1.06,0.0000002671203071,20.00001888
520,0,50,1.08,0.0000002671202605,20.00001619
520,0,50,1.1,0.0000002671202171,20.00001368
520,0,50,1.12,0.0000002671201769,20.00001135
520,0,50,1.14,0.0000002671201399,20.0000092
520,0,50,1.16,0.0000002671201061,20.00000723
520,0,50,1.18,0.0000002671200755,20.00000544
520,0,50,1.2,0.0000002671200481,20.00000383
520,0,50,1.22,0.0000002671200239,20.0000024
520,0,50,1.24,0.0000002671200029,20.00000116
520,0,50,1.26,0.0000002671199852,20.00000009
520,0,50,1.28,0.0000002671199706,19.9999992
520,0,50,1.3,0.0000002671199592,19.99999849
520,0,50,1.32,0.000000267119951,19.99999796
520,0,50,1.34,0.000000267119946,19.99999761
520,0,50,1.36,0.0000002671199443,19.99999744
520,0,50,1.38,0.0000002671199457,19.99999745
520,0,50,1.4,0.0000002671199582,19.99999765
520,0,50,1.42,0.0000002671199692,19.99999802
520,0,50,1.44,0.0000002671199835,19.99999857
520,0,50,1.46,0.0000002671200009,19.9999993
520,0,50,1.48,0.0000002671200216,20.00000022
520,0,50,1.5,0.0000002671200454,20.00000131
520,0,50,1.52,0.0000002671200387,20.00000258
520,0,50,1.54,0.0000002671200325,20.00000225
520,0,50,1.56,0.0000002671200266,20.00000195
520,0,50,1.58,0.0000002671200211,20.00000166
520,0,50,1.6,0.000000267120016,20.00000139
