T_Bottom,Time,X,Y,Temp(degC)
100,0,0,0.02,100
100,0,0,0.04,90.69875545
100,0,0,0.06,81.90614776
100,0,0,0.08,73.62217694
100,0,0,0.1,65.84684299
100,0,0,0.12,58.5801459
100,0,0,0.14,51.82208568
100,0,0,0.16,45.57266233
100,0,0,0.18,39.83187584
100,0,0,0.2,34.59972622
100,0,0,0.22,29.87621346
100,0,0,0.24,25.66133757
100,0,0,0.26,21.95509855
100,0,0,0.28,18.75749639
100,0,0,0.3,16.0685311
100,0,0,0.32,13.88820267
100,0,0,0.34,12.21651111
100,0,0,0.36,11.05345642
100,0,0,0.38,10.3990386
100,0,0,0.4,10.25325764
100,0,0,0.42,10.61611354
100,0,0,0.44,11.48760631
100,0,0,0.46,12.86773595
100,0,0,0.48,14.75650246
100,0,0,0.5,17.15390583
100,0,0,0.52,20.05994606
100,0,0,0.54,20.04584147
100,0,0,0.56,20.03268772
100,0,0,0.58,20.02048479
100,0,0,0.6,20.0092327
100,0,0,0.62,19.99893143
100,0,0,0.64,19.989581
100,0,0,0.66,19.9811814
100,0,0,0.68,19.97373264
100,0,0,0.7,19.9672347
100,0,0,0.72,19.96168759
100,0,0,0.74,19.95709132
100,0,0,0.76,19.95344588
100,0,0,0.78,19.95075127
100,0,0,0.8,19.94900749
100,0,0,0.82,19.94821454
100,0,0,0.84,19.94837243
100,0,0,0.86,19.94948114
100,0,0,0.88,19.95154069
100,0,0,0.9,19.95455107
100,0,0,0.92,19.95851228
100,0,0,0.94,19.96342432
100,0,0,0.96,19.9692872
100,0,0,0.98,19.9761009
100,0,0,1,19.98386544
100,0,0,1.02,19.99258081
100,0,0,1.04,19.99379746
100,0,0,1.06,19.9949266
100,0,0,1.08,19.99596821
100,0,0,1.1,19.99692229
100,0,0,1.12,19.99778885
100,0,0,1.14,19.99856789
100,0,0,1.16,19.9992594
100,0,0,1.18,19.99986339
100,0,0,1.2,20.00037985
100,0,0,1.22,20.00080879
100,0,0,1.24,20.0011502
100,0,0,1.26,20.00140409
100,0,0,1.28,20.00157045
100,0,0,1.3,20.00164929
100,0,0,1.32,20.00164061
100,0,0,1.34,20.0015444
100,0,0,1.36,20.00136067
100,0,0,1.38,20.00108941
100,0,0,1.4,20.00073063
100,0,0,1.42,20.00028432
100,0,0,1.44,19.99975049
100,0,0,1.46,19.99912913
100,0,0,1.48,19.99842025
100,0,0,1.5,19.99762385
100,0,0,1.52,19.99673992
100,0,0,1.54,19.99715113
100,0,0,1.56,19.99753789
100,0,0,1.58,19.9979002
100,0,0,1.6,19.99823805
100,0,0,1.62,19.99855145
100,0,0,1.64,19.99884039
100,0,0,1.66,19.99910488
100,0,0,1.68,19.99934492
100,0,0,1.7,19.99956051
100,0,0,1.72,19.99975164
100,0,0,1.74,19.99991832
100,0,0,1.76,20.00006055
100,0,0,1.78,20.00027164
100,0,0,1.8,20.00034051
100,0,0,1.82,20.00038492
100,0,0,1.84,20.00040488
100,0,0,1.86,20.00040039
100,0,0,1.88,20.00037145
100,0,0,1.9,20.00031805
100,0,0,1.92,20.00024019
100,0,0,1.94,20.00013789
100,0,0,1.96,20.00001113
100,0,0,1.98,19.99985992
100,0,0,2,19.99968425
100,0.5,0,0.02,100
100,0.5,0,0.04,99.96020308
100,0.5,0,0.06,99.92052434
100,0.5,0,0.08,99.88096378
100,0.5,0,0.1,99.8415214
100,0.5,0,0.12,99.8021972
100,0.5,0,0.14,99.76299119
100,0.5,0,0.16,99.72390335
100,0.5,0,0.18,99.6849337
100,0.5,0,0.2,99.64608223
100,0.5,0,0.22,99.60734894
100,0.5,0,0.24,99.56873383
100,0.5,0,0.26,99.5302369
100,0.5,0,0.28,99.49185815
100,0.5,0,0.3,99.45359758
100,0.5,0,0.32,99.4154552
100,0.5,0,0.34,99.37743099
100,0.5,0,0.36,99.33952497
100,0.5,0,0.38,99.30173713
100,0.5,0,0.4,99.26406747
100,0.5,0,0.42,99.22651599
100,0.5,0,0.44,99.18908269
100,0.5,0,0.46,99.15176757
100,0.5,0,0.48,99.11457063
100,0.5,0,0.5,99.07749188
100,0.5,0,0.52,99.0405313
100,0.5,0,0.54,99.00339909
100,0.5,0,0.56,98.96632818
100,0.5,0,0.58,98.92931857
100,0.5,0,0.6,98.89237025
100,0.5,0,0.62,98.85548324
100,0.5,0,0.64,98.81865752
100,0.5,0,0.66,98.78189311
100,0.5,0,0.68,98.74518999
100,0.5,0,0.7,98.70854817
100,0.5,0,0.72,98.67196765
100,0.5,0,0.74,98.63544844
100,0.5,0,0.76,98.59899051
100,0.5,0,0.78,98.56259389
100,0.5,0,0.8,98.52625857
100,0.5,0,0.82,98.48998455
100,0.5,0,0.84,98.45377183
100,0.5,0,0.86,98.4176204
100,0.5,0,0.88,98.38153028
100,0.5,0,0.9,98.34550145
100,0.5,0,0.92,98.30953392
100,0.5,0,0.94,98.27362769
100,0.5,0,0.96,98.23778277
100,0.5,0,0.98,98.20199914
100,0.5,0,1,98.16627681
100,0.5,0,1.02,98.13061577
100,0.5,0,1.04,98.09500544
100,0.5,0,1.06,98.05946744
100,0.5,0,1.08,98.02400177
100,0.5,0,1.1,97.98860844
100,0.5,0,1.12,97.95328743
100,0.5,0,1.14,97.91803875
100,0.5,0,1.16,97.88286241
100,0.5,0,1.18,97.84775839
100,0.5,0,1.2,97.81272671
100,0.5,0,1.22,97.77776736
100,0.5,0,1.24,97.74288034
100,0.5,0,1.26,97.70806564
100,0.5,0,1.28,97.67332328
100,0.5,0,1.3,97.63865326
100,0.5,0,1.32,97.60405556
100,0.5,0,1.34,97.56953019
100,0.5,0,1.36,97.53507715
100,0.5,0,1.38,97.50069645
100,0.5,0,1.4,97.46638807
100,0.5,0,1.42,97.43215203
100,0.5,0,1.44,97.39798831
100,0.5,0,1.46,97.36389693
100,0.5,0,1.48,97.32987788
100,0.5,0,1.5,97.29593116
100,0.5,0,1.52,97.26205677
100,0.5,0,1.54,97.22825966
100,0.5,0,1.56,97.19455124
100,0.5,0,1.58,97.16093151
100,0.5,0,1.6,97.12740046
100,0.5,0,1.62,97.09395811
100,0.5,0,1.64,97.06060444
100,0.5,0,1.66,97.02733946
100,0.5,0,1.68,96.99416317
100,0.5,0,1.7,96.96107556
100,0.5,0,1.72,96.92807665
100,0.5,0,1.74,96.89516642
100,0.5,0,1.76,96.86234488
100,0.5,0,1.78,96.79696787
100,0.5,0,1.8,96.7644124
100,0.5,0,1.82,96.73194561
100,0.5,0,1.84,96.69956751
100,0.5,0,1.86,96.66727811
100,0.5,0,1.88,96.63507739
100,0.5,0,1.9,96.60296535
100,0.5,0,1.92,96.57094201
100,0.5,0,1.94,96.53900735
100,0.5,0,1.96,96.50716139
100,0.5,0,1.98,96.47540411
100,0.5,0,2,96.44373552
100,1,0,0.02,100
100,1,0,0.04,99.99347684
100,1,0,0.06,99.9870603
100,1,0,0.08,99.98075041
100,1,0,0.1,99.97454715
100,1,0,0.12,99.96845052
100,1,0,0.14,99.96246053
100,1,0,0.16,99.95657717
100,1,0,0.18,99.95080044
100,1,0,0.2,99.94513035
100,1,0,0.22,99.9395669
100,1,0,0.24,99.93411008
100,1,0,0.26,99.92875989
100,1,0,0.28,99.92351634
100,1,0,0.3,99.91837942
100,1,0,0.32,99.91334913
100,1,0,0.34,99.90842548
100,1,0,0.36,99.90360847
100,1,0,0.38,99.89889809
100,1,0,0.4,99.89429434
100,1,0,0.42,99.88979723
100,1,0,0.44,99.88540675
100,1,0,0.46,99.88112291
100,1,0,0.48,99.8769457
100,1,0,0.5,99.87287513
100,1,0,0.52,99.86891119
100,1,0,0.54,99.86475567
100,1,0,0.56,99.86062752
100,1,0,0.58,99.85652673
100,1,0,0.6,99.85245331
100,1,0,0.62,99.84840724
100,1,0,0.64,99.84438854
100,1,0,0.66,99.84039721
100,1,0,0.68,99.83643324
100,1,0,0.7,99.83249663
100,1,0,0.72,99.82858738
100,1,0,0.74,99.8247055
100,1,0,0.76,99.82085098
100,1,0,0.78,99.81702382
100,1,0,0.8,99.81322402
100,1,0,0.82,99.80945159
100,1,0,0.84,99.80570653
100,1,0,0.86,99.80198882
100,1,0,0.88,99.79829848
100,1,0,0.9,99.7946355
100,1,0,0.92,99.79099989
100,1,0,0.94,99.78739163
100,1,0,0.96,99.78381075
100,1,0,0.98,99.78025722
100,1,0,1,99.77673106
100,1,0,1.02,99.77323226
100,1,0,1.04,99.7697381
100,1,0,1.06,99.76626042
100,1,0,1.08,99.76279921
100,1,0,1.1,99.75935446
100,1,0,1.12,99.75592619
100,1,0,1.14,99.75251439
100,1,0,1.16,99.74911906
100,1,0,1.18,99.74574021
100,1,0,1.2,99.74237782
100,1,0,1.22,99.7390319
100,1,0,1.24,99.73570245
100,1,0,1.26,99.73238948
100,1,0,1.28,99.72909297
100,1,0,1.3,99.72581294
100,1,0,1.32,99.72254938
100,1,0,1.34,99.71930229
100,1,0,1.36,99.71607166
100,1,0,1.38,99.71285751
100,1,0,1.4,99.70965983
100,1,0,1.42,99.70647862
100,1,0,1.44,99.70331389
100,1,0,1.46,99.70016562
100,1,0,1.48,99.69703382
100,1,0,1.5,99.6939185
100,1,0,1.52,99.69081964
100,1,0,1.54,99.68772957
100,1,0,1.56,99.68465125
100,1,0,1.58,99.68158469
100,1,0,1.6,99.67852989
100,1,0,1.62,99.67548683
