T_Bottom,Time,X,Y,Temp(degC)
100,0,50,0.02,100
100,0,50,0.04,90.67126632
100,0,50,0.06,81.85361019
100,0,50,0.08,73.54703161
100,0,50,0.1,65.75153059
100,0,50,0.12,58.46710712
100,0,50,0.14,51.6937612
100,0,50,0.16,45.43149284
100,0,50,0.18,39.68030203
100,0,50,0.2,34.44018878
100,0,50,0.22,29.71115307
100,0,50,0.24,25.49319492
100,0,50,0.26,21.78631433
100,0,50,0.28,18.59051128
100,0,50,0.3,15.90578579
100,0,50,0.32,13.73213786
100,0,50,0.34,12.06956747
100,0,50,0.36,10.91807464
100,0,50,0.38,10.27765937
100,0,50,0.4,10.14832164
100,0,50,0.42,10.53006147
100,0,50,0.44,11.42287885
100,0,50,0.46,12.82677379
100,0,50,0.48,14.74174628
100,0,50,0.5,17.16779632
100,0,50,0.52,20.10492392
100,0,50,0.54,20.08471292
100,0,50,0.56,20.06581057
100,0,50,0.58,20.04821687
100,0,50,0.6,20.03193181
100,0,50,0.62,20.0169554
100,0,50,0.64,20.00328763
100,0,50,0.66,19.9909285
100,0,50,0.68,19.97987803
100,0,50,0.7,19.97013619
100,0,50,0.72,19.961703
100,0,50,0.74,19.95457846
100,0,50,0.76,19.94876256
100,0,50,0.78,19.94425531
100,0,50,0.8,19.9410567
100,0,50,0.82,19.93916674
100,0,50,0.84,19.93858542
100,0,50,0.86,19.93931275
100,0,50,0.88,19.94134872
100,0,50,0.9,19.94469333
100,0,50,0.92,19.9493466
100,0,50,0.94,19.9553085
100,0,50,0.96,19.96257906
100,0,50,0.98,19.97115825
100,0,50,1,19.9810461
100,0,50,1.02,19.99224258
100,0,50,1.04,19.99358419
100,0,50,1.06,19.99482958
100,0,50,1.08,19.99597874
100,0,50,1.1,19.99703167
100,0,50,1.12,19.99798838
100,0,50,1.14,19.99884886
100,0,50,1.16,19.99961311
100,0,50,1.18,20.00028114
100,0,50,1.2,20.00085295
100,0,50,1.22,20.00132852
100,0,50,1.24,20.00170787
100,0,50,1.26,20.001991
100,0,50,1.28,20.0021779
100,0,50,1.3,20.00226857
100,0,50,1.32,20.00226302
100,0,50,1.34,20.00216124
100,0,50,1.36,20.00196324
100,0,50,1.38,20.00166901
100,0,50,1.4,20.00127855
100,0,50,1.42,20.00079187
100,0,50,1.44,20.00020896
100,0,50,1.46,19.99952983
100,0,50,1.48,19.99875446
100,0,50,1.5,19.99788288
100,0,50,1.52,19.99691507
100,0,50,1.54,19.99729764
100,0,50,1.56,19.9976578
100,0,50,1.58,19.99799556
100,0,50,1.6,19.99831091
100,0,50,1.62,19.99860385
100,0,50,1.64,19.99887438
100,0,50,1.66,19.9991225
100,0,50,1.68,19.99934821
100,0,50,1.7,19.99955152
100,0,50,1.72,19.99973242
100,0,50,1.74,19.9998909
100,0,50,1.76,20.00002699
100,0,50,1.78,20.00023192
100,0,50,1.8,20.00030077
100,0,50,1.82,20.00034722
100,0,50,1.84,20.00037126
100,0,50,1.86,20.00037289
100,0,50,1.88,20.00035211
100,0,50,1.9,20.00030892
100,0,50,1.92,20.00024333
100,0,50,1.94,20.00015532
100,0,50,1.96,20.00004491
100,0,50,1.98,19.99991209
100,0,50,2,19.99975686
100,0.5,50,0.02,100
100,0.5,50,0.04,99.96020585
100,0.5,50,0.06,99.92052964
100,0.5,50,0.08,99.88097137
100,0.5,50,0.1,99.84153104
100,0.5,50,0.12,99.80220865
100,0.5,50,0.14,99.7630042
100,0.5,50,0.16,99.7239177
100,0.5,50,0.18,99.68494913
100,0.5,50,0.2,99.64609851
100,0.5,50,0.22,99.60736582
100,0.5,50,0.24,99.56875108
100,0.5,50,0.26,99.53025428
100,0.5,50,0.28,99.49187541
100,0.5,50,0.3,99.45361449
100,0.5,50,0.32,99.41547151
100,0.5,50,0.34,99.37744647
100,0.5,50,0.36,99.33953938
100,0.5,50,0.38,99.30175022
100,0.5,50,0.4,99.264079
100,0.5,50,0.42,99.22652573
100,0.5,50,0.44,99.18909039
100,0.5,50,0.46,99.151773
100,0.5,50,0.48,99.11457355
100,0.5,50,0.5,99.07749203
100,0.5,50,0.52,99.04052846
100,0.5,50,0.54,99.00339685
100,0.5,50,0.56,98.96632647
100,0.5,50,0.58,98.92931732
100,0.5,50,0.6,98.89236939
100,0.5,50,0.62,98.85548269
100,0.5,50,0.64,98.81865722
100,0.5,50,0.66,98.78189298
100,0.5,50,0.68,98.74518996
100,0.5,50,0.7,98.70854817
100,0.5,50,0.72,98.67196761
100,0.5,50,0.74,98.63544827
100,0.5,50,0.76,98.59899017
100,0.5,50,0.78,98.56259329
100,0.5,50,0.8,98.52625763
100,0.5,50,0.82,98.48998321
100,0.5,50,0.84,98.45377001
100,0.5,50,0.86,98.41761804
100,0.5,50,0.88,98.3815273
100,0.5,50,0.9,98.34549778
100,0.5,50,0.92,98.30952949
100,0.5,50,0.94,98.27362243
100,0.5,50,0.96,98.2377766
100,0.5,50,0.98,98.20199199
100,0.5,50,1,98.16626861
100,0.5,50,1.02,98.13060646
100,0.5,50,1.04,98.09499602
100,0.5,50,1.06,98.05945796
100,0.5,50,1.08,98.02399227
100,0.5,50,1.1,97.98859896
100,0.5,50,1.12,97.95327802
100,0.5,50,1.14,97.91802946
100,0.5,50,1.16,97.88285328
100,0.5,50,1.18,97.84774947
100,0.5,50,1.2,97.81271804
100,0.5,50,1.22,97.77775898
100,0.5,50,1.24,97.7428723
100,0.5,50,1.26,97.708058
100,0.5,50,1.28,97.67331607
100,0.5,50,1.3,97.63864652
100,0.5,50,1.32,97.60404934
100,0.5,50,1.34,97.56952454
100,0.5,50,1.36,97.53507212
100,0.5,50,1.38,97.50069207
100,0.5,50,1.4,97.4663844
100,0.5,50,1.42,97.4321491
100,0.5,50,1.44,97.39798618
100,0.5,50,1.46,97.36389563
100,0.5,50,1.48,97.32987746
100,0.5,50,1.5,97.29593167
100,0.5,50,1.52,97.26205825
100,0.5,50,1.54,97.22826053
100,0.5,50,1.56,97.19455154
100,0.5,50,1.58,97.16093129
100,0.5,50,1.6,97.12739978
100,0.5,50,1.62,97.093957
100,0.5,50,1.64,97.06060296
100,0.5,50,1.66,97.02733765
100,0.5,50,1.68,96.99416108
100,0.5,50,1.7,96.96107325
100,0.5,50,1.72,96.92807416
100,0.5,50,1.74,96.8951638
100,0.5,50,1.76,96.86234218
100,0.5,50,1.78,96.79696514
100,0.5,50,1.8,96.76440973
100,0.5,50,1.82,96.73194305
100,0.5,50,1.84,96.69956511
100,0.5,50,1.86,96.66727591
100,0.5,50,1.88,96.63507544
100,0.5,50,1.9,96.60296371
100,0.5,50,1.92,96.57094072
100,0.5,50,1.94,96.53900646
100,0.5,50,1.96,96.50716094
100,0.5,50,1.98,96.47540416
100,0.5,50,2,96.44373611
100,1,50,0.02,100
100,1,50,0.04,99.9934795
100,1,50,0.06,99.98706541
100,1,50,0.08,99.98075773
100,1,50,0.1,99.97455645
100,1,50,0.12,99.96846159
100,1,50,0.14,99.96247313
100,1,50,0.16,99.95659108
100,1,50,0.18,99.95081544
100,1,50,0.2,99.9451462
100,1,50,0.22,99.93958337
100,1,50,0.24,99.93412695
100,1,50,0.26,99.92877694
100,1,50,0.28,99.92353334
100,1,50,0.3,99.91839614
100,1,50,0.32,99.91336535
100,1,50,0.34,99.90844097
100,1,50,0.36,99.903623
100,1,50,0.38,99.89891144
100,1,50,0.4,99.89430628
100,1,50,0.42,99.88980753
100,1,50,0.44,99.88541519
100,1,50,0.46,99.88112926
100,1,50,0.48,99.87694973
100,1,50,0.5,99.87287661
100,1,50,0.52,99.8689099
100,1,50,0.54,99.86475502
100,1,50,0.56,99.86062742
100,1,50,0.58,99.85652711
100,1,50,0.6,99.85245407
100,1,50,0.62,99.84840832
100,1,50,0.64,99.84438984
100,1,50,0.66,99.84039865
100,1,50,0.68,99.83643474
100,1,50,0.7,99.83249811
100,1,50,0.72,99.82858877
100,1,50,0.74,99.8247067
100,1,50,0.76,99.82085192
100,1,50,0.78,99.81702442
100,1,50,0.8,99.8132242
100,1,50,0.82,99.80945126
100,1,50,0.84,99.8057056
100,1,50,0.86,99.80198723
100,1,50,0.88,99.79829613
100,1,50,0.9,99.79463232
100,1,50,0.92,99.79099579
100,1,50,0.94,99.78738654
100,1,50,0.96,99.78380457
100,1,50,0.98,99.78024988
